RUN	com.github.mnogu.gatling.kafka.test.ByteArraySimulation	bytearraysimulation	1620476017230	 	3.5.1
USER	Kafka Test	START	1620476021227
REQUEST		request	1620476021227	1620476021247	OK	 
USER	Kafka Test	END	1620476021248
USER	Kafka Test	START	1620476021329
REQUEST		request	1620476021329	1620476021347	OK	 
USER	Kafka Test	END	1620476021347
USER	Kafka Test	START	1620476021429
REQUEST		request	1620476021429	1620476021452	OK	 
USER	Kafka Test	END	1620476021454
USER	Kafka Test	START	1620476021536
REQUEST		request	1620476021536	1620476021563	OK	 
USER	Kafka Test	END	1620476021564
USER	Kafka Test	START	1620476021636
REQUEST		request	1620476021637	1620476021665	OK	 
USER	Kafka Test	END	1620476021670
USER	Kafka Test	START	1620476021724
REQUEST		request	1620476021724	1620476021745	OK	 
USER	Kafka Test	END	1620476021746
USER	Kafka Test	START	1620476021824
REQUEST		request	1620476021824	1620476021843	OK	 
USER	Kafka Test	END	1620476021844
USER	Kafka Test	START	1620476021927
REQUEST		request	1620476021927	1620476021944	OK	 
USER	Kafka Test	END	1620476021945
USER	Kafka Test	START	1620476022026
REQUEST		request	1620476022027	1620476022050	OK	 
USER	Kafka Test	END	1620476022052
USER	Kafka Test	START	1620476022126
REQUEST		request	1620476022126	1620476022143	OK	 
USER	Kafka Test	END	1620476022144
USER	Kafka Test	START	1620476022227
REQUEST		request	1620476022227	1620476022249	OK	 
USER	Kafka Test	END	1620476022250
USER	Kafka Test	START	1620476022327
REQUEST		request	1620476022327	1620476022347	OK	 
USER	Kafka Test	END	1620476022348
USER	Kafka Test	START	1620476022427
REQUEST		request	1620476022427	1620476022445	OK	 
USER	Kafka Test	END	1620476022447
USER	Kafka Test	START	1620476022528
REQUEST		request	1620476022528	1620476022548	OK	 
USER	Kafka Test	END	1620476022550
USER	Kafka Test	START	1620476022627
REQUEST		request	1620476022627	1620476022658	OK	 
USER	Kafka Test	END	1620476022659
USER	Kafka Test	START	1620476022724
REQUEST		request	1620476022724	1620476022741	OK	 
USER	Kafka Test	END	1620476022742
USER	Kafka Test	START	1620476022825
REQUEST		request	1620476022825	1620476022839	OK	 
USER	Kafka Test	END	1620476022840
USER	Kafka Test	START	1620476022926
REQUEST		request	1620476022926	1620476022953	OK	 
USER	Kafka Test	END	1620476022956
USER	Kafka Test	START	1620476023027
REQUEST		request	1620476023027	1620476023050	OK	 
USER	Kafka Test	END	1620476023051
USER	Kafka Test	START	1620476023128
REQUEST		request	1620476023128	1620476023145	OK	 
USER	Kafka Test	END	1620476023147
USER	Kafka Test	START	1620476023228
REQUEST		request	1620476023228	1620476023251	OK	 
USER	Kafka Test	END	1620476023252
USER	Kafka Test	START	1620476023328
REQUEST		request	1620476023328	1620476023369	OK	 
USER	Kafka Test	END	1620476023369
USER	Kafka Test	START	1620476023428
REQUEST		request	1620476023428	1620476023448	OK	 
USER	Kafka Test	END	1620476023449
USER	Kafka Test	START	1620476023529
REQUEST		request	1620476023529	1620476023553	OK	 
USER	Kafka Test	END	1620476023555
USER	Kafka Test	START	1620476023629
REQUEST		request	1620476023629	1620476023653	OK	 
USER	Kafka Test	END	1620476023654
USER	Kafka Test	START	1620476023723
REQUEST		request	1620476023723	1620476023741	OK	 
USER	Kafka Test	END	1620476023741
USER	Kafka Test	START	1620476023825
REQUEST		request	1620476023825	1620476023847	OK	 
USER	Kafka Test	END	1620476023848
USER	Kafka Test	START	1620476023924
REQUEST		request	1620476023925	1620476023951	OK	 
USER	Kafka Test	END	1620476023952
USER	Kafka Test	START	1620476024025
REQUEST		request	1620476024025	1620476024051	OK	 
USER	Kafka Test	END	1620476024052
USER	Kafka Test	START	1620476024125
REQUEST		request	1620476024125	1620476024147	OK	 
USER	Kafka Test	END	1620476024148
USER	Kafka Test	START	1620476024225
REQUEST		request	1620476024225	1620476024251	OK	 
USER	Kafka Test	END	1620476024252
USER	Kafka Test	START	1620476024326
REQUEST		request	1620476024326	1620476024346	OK	 
USER	Kafka Test	END	1620476024347
USER	Kafka Test	START	1620476024426
REQUEST		request	1620476024426	1620476024446	OK	 
USER	Kafka Test	END	1620476024447
USER	Kafka Test	START	1620476024525
REQUEST		request	1620476024525	1620476024547	OK	 
USER	Kafka Test	END	1620476024549
USER	Kafka Test	START	1620476024626
REQUEST		request	1620476024626	1620476024647	OK	 
USER	Kafka Test	END	1620476024649
USER	Kafka Test	START	1620476024725
REQUEST		request	1620476024725	1620476024749	OK	 
USER	Kafka Test	END	1620476024751
USER	Kafka Test	START	1620476024825
REQUEST		request	1620476024825	1620476024844	OK	 
USER	Kafka Test	END	1620476024846
USER	Kafka Test	START	1620476024925
REQUEST		request	1620476024925	1620476024948	OK	 
USER	Kafka Test	END	1620476024950
USER	Kafka Test	START	1620476025025
REQUEST		request	1620476025025	1620476025050	OK	 
USER	Kafka Test	END	1620476025051
USER	Kafka Test	START	1620476025126
REQUEST		request	1620476025126	1620476025151	OK	 
USER	Kafka Test	END	1620476025152
USER	Kafka Test	START	1620476025226
REQUEST		request	1620476025226	1620476025249	OK	 
USER	Kafka Test	END	1620476025250
USER	Kafka Test	START	1620476025326
REQUEST		request	1620476025326	1620476025346	OK	 
USER	Kafka Test	END	1620476025347
USER	Kafka Test	START	1620476025426
REQUEST		request	1620476025426	1620476025446	OK	 
USER	Kafka Test	END	1620476025446
USER	Kafka Test	START	1620476025526
REQUEST		request	1620476025526	1620476025546	OK	 
USER	Kafka Test	END	1620476025547
USER	Kafka Test	START	1620476025627
REQUEST		request	1620476025627	1620476025645	OK	 
USER	Kafka Test	END	1620476025646
USER	Kafka Test	START	1620476025723
REQUEST		request	1620476025723	1620476025746	OK	 
USER	Kafka Test	END	1620476025747
USER	Kafka Test	START	1620476025824
REQUEST		request	1620476025825	1620476025839	OK	 
USER	Kafka Test	END	1620476025840
USER	Kafka Test	START	1620476025925
REQUEST		request	1620476025925	1620476025952	OK	 
USER	Kafka Test	END	1620476025954
USER	Kafka Test	START	1620476026025
REQUEST		request	1620476026025	1620476026047	OK	 
USER	Kafka Test	END	1620476026049
USER	Kafka Test	START	1620476026125
REQUEST		request	1620476026125	1620476026154	OK	 
USER	Kafka Test	END	1620476026155
USER	Kafka Test	START	1620476026226
REQUEST		request	1620476026226	1620476026249	OK	 
USER	Kafka Test	END	1620476026251
USER	Kafka Test	START	1620476026325
REQUEST		request	1620476026325	1620476026347	OK	 
USER	Kafka Test	END	1620476026347
USER	Kafka Test	START	1620476026426
REQUEST		request	1620476026426	1620476026444	OK	 
USER	Kafka Test	END	1620476026445
USER	Kafka Test	START	1620476026526
REQUEST		request	1620476026526	1620476026547	OK	 
USER	Kafka Test	END	1620476026547
USER	Kafka Test	START	1620476026625
REQUEST		request	1620476026625	1620476026647	OK	 
USER	Kafka Test	END	1620476026648
USER	Kafka Test	START	1620476026723
REQUEST		request	1620476026723	1620476026741	OK	 
USER	Kafka Test	END	1620476026742
USER	Kafka Test	START	1620476026824
REQUEST		request	1620476026824	1620476026843	OK	 
USER	Kafka Test	END	1620476026844
USER	Kafka Test	START	1620476026924
REQUEST		request	1620476026924	1620476026939	OK	 
USER	Kafka Test	END	1620476026939
USER	Kafka Test	START	1620476027024
REQUEST		request	1620476027024	1620476027040	OK	 
USER	Kafka Test	END	1620476027041
USER	Kafka Test	START	1620476027125
REQUEST		request	1620476027125	1620476027145	OK	 
USER	Kafka Test	END	1620476027147
USER	Kafka Test	START	1620476027226
REQUEST		request	1620476027226	1620476027246	OK	 
USER	Kafka Test	END	1620476027246
USER	Kafka Test	START	1620476027325
REQUEST		request	1620476027325	1620476027346	OK	 
USER	Kafka Test	END	1620476027346
USER	Kafka Test	START	1620476027425
REQUEST		request	1620476027425	1620476027440	OK	 
USER	Kafka Test	END	1620476027440
USER	Kafka Test	START	1620476027525
REQUEST		request	1620476027525	1620476027542	OK	 
USER	Kafka Test	END	1620476027544
USER	Kafka Test	START	1620476027625
REQUEST		request	1620476027625	1620476027648	OK	 
USER	Kafka Test	END	1620476027648
USER	Kafka Test	START	1620476027724
REQUEST		request	1620476027724	1620476027740	OK	 
USER	Kafka Test	END	1620476027742
USER	Kafka Test	START	1620476027824
REQUEST		request	1620476027824	1620476027848	OK	 
USER	Kafka Test	END	1620476027849
USER	Kafka Test	START	1620476027924
REQUEST		request	1620476027925	1620476027945	OK	 
USER	Kafka Test	END	1620476027947
USER	Kafka Test	START	1620476028024
REQUEST		request	1620476028024	1620476028045	OK	 
USER	Kafka Test	END	1620476028046
USER	Kafka Test	START	1620476028125
REQUEST		request	1620476028125	1620476028145	OK	 
USER	Kafka Test	END	1620476028147
USER	Kafka Test	START	1620476028225
REQUEST		request	1620476028225	1620476028249	OK	 
USER	Kafka Test	END	1620476028250
USER	Kafka Test	START	1620476028325
REQUEST		request	1620476028325	1620476028347	OK	 
USER	Kafka Test	END	1620476028349
USER	Kafka Test	START	1620476028425
REQUEST		request	1620476028425	1620476028447	OK	 
USER	Kafka Test	END	1620476028448
USER	Kafka Test	START	1620476028525
REQUEST		request	1620476028525	1620476028545	OK	 
USER	Kafka Test	END	1620476028546
USER	Kafka Test	START	1620476028626
REQUEST		request	1620476028626	1620476028642	OK	 
USER	Kafka Test	END	1620476028643
USER	Kafka Test	START	1620476028724
REQUEST		request	1620476028724	1620476028742	OK	 
USER	Kafka Test	END	1620476028743
USER	Kafka Test	START	1620476028824
REQUEST		request	1620476028824	1620476028843	OK	 
USER	Kafka Test	END	1620476028849
USER	Kafka Test	START	1620476028924
REQUEST		request	1620476028924	1620476028947	OK	 
USER	Kafka Test	END	1620476028947
USER	Kafka Test	START	1620476029025
REQUEST		request	1620476029025	1620476029044	OK	 
USER	Kafka Test	END	1620476029045
USER	Kafka Test	START	1620476029125
REQUEST		request	1620476029125	1620476029150	OK	 
USER	Kafka Test	END	1620476029150
USER	Kafka Test	START	1620476029225
REQUEST		request	1620476029225	1620476029244	OK	 
USER	Kafka Test	END	1620476029245
USER	Kafka Test	START	1620476029326
REQUEST		request	1620476029326	1620476029345	OK	 
USER	Kafka Test	END	1620476029346
USER	Kafka Test	START	1620476029425
REQUEST		request	1620476029425	1620476029442	OK	 
USER	Kafka Test	END	1620476029443
USER	Kafka Test	START	1620476029526
REQUEST		request	1620476029526	1620476029548	OK	 
USER	Kafka Test	END	1620476029548
USER	Kafka Test	START	1620476029626
REQUEST		request	1620476029626	1620476029647	OK	 
USER	Kafka Test	END	1620476029649
USER	Kafka Test	START	1620476029724
REQUEST		request	1620476029724	1620476029748	OK	 
USER	Kafka Test	END	1620476029749
USER	Kafka Test	START	1620476029824
REQUEST		request	1620476029824	1620476029845	OK	 
USER	Kafka Test	END	1620476029846
USER	Kafka Test	START	1620476029924
REQUEST		request	1620476029924	1620476029941	OK	 
USER	Kafka Test	END	1620476029942
USER	Kafka Test	START	1620476030024
REQUEST		request	1620476030025	1620476030049	OK	 
USER	Kafka Test	END	1620476030050
USER	Kafka Test	START	1620476030125
REQUEST		request	1620476030125	1620476030143	OK	 
USER	Kafka Test	END	1620476030144
USER	Kafka Test	START	1620476030224
REQUEST		request	1620476030225	1620476030248	OK	 
USER	Kafka Test	END	1620476030250
USER	Kafka Test	START	1620476030325
REQUEST		request	1620476030326	1620476030346	OK	 
USER	Kafka Test	END	1620476030347
USER	Kafka Test	START	1620476030426
REQUEST		request	1620476030426	1620476030451	OK	 
USER	Kafka Test	END	1620476030451
USER	Kafka Test	START	1620476030526
REQUEST		request	1620476030526	1620476030549	OK	 
USER	Kafka Test	END	1620476030550
USER	Kafka Test	START	1620476030626
REQUEST		request	1620476030626	1620476030644	OK	 
USER	Kafka Test	END	1620476030645
USER	Kafka Test	START	1620476030724
REQUEST		request	1620476030724	1620476030744	OK	 
USER	Kafka Test	END	1620476030746
USER	Kafka Test	START	1620476030825
REQUEST		request	1620476030825	1620476030849	OK	 
USER	Kafka Test	END	1620476030849
USER	Kafka Test	START	1620476030924
REQUEST		request	1620476030924	1620476030952	OK	 
USER	Kafka Test	END	1620476030954
USER	Kafka Test	START	1620476031024
REQUEST		request	1620476031024	1620476031040	OK	 
USER	Kafka Test	END	1620476031042
USER	Kafka Test	START	1620476031125
REQUEST		request	1620476031125	1620476031143	OK	 
USER	Kafka Test	END	1620476031145
USER	Kafka Test	START	1620476031225
REQUEST		request	1620476031225	1620476031242	OK	 
USER	Kafka Test	END	1620476031244
USER	Kafka Test	START	1620476031325
REQUEST		request	1620476031325	1620476031350	OK	 
USER	Kafka Test	END	1620476031351
USER	Kafka Test	START	1620476031426
REQUEST		request	1620476031426	1620476031455	OK	 
USER	Kafka Test	END	1620476031456
USER	Kafka Test	START	1620476031525
REQUEST		request	1620476031526	1620476031546	OK	 
USER	Kafka Test	END	1620476031547
USER	Kafka Test	START	1620476031626
REQUEST		request	1620476031626	1620476031648	OK	 
USER	Kafka Test	END	1620476031649
USER	Kafka Test	START	1620476031723
REQUEST		request	1620476031723	1620476031741	OK	 
USER	Kafka Test	END	1620476031742
USER	Kafka Test	START	1620476031824
REQUEST		request	1620476031824	1620476031839	OK	 
USER	Kafka Test	END	1620476031840
USER	Kafka Test	START	1620476031924
REQUEST		request	1620476031924	1620476031947	OK	 
USER	Kafka Test	END	1620476031948
USER	Kafka Test	START	1620476032025
REQUEST		request	1620476032025	1620476032043	OK	 
USER	Kafka Test	END	1620476032044
USER	Kafka Test	START	1620476032124
REQUEST		request	1620476032124	1620476032146	OK	 
USER	Kafka Test	END	1620476032147
USER	Kafka Test	START	1620476032225
REQUEST		request	1620476032225	1620476032243	OK	 
USER	Kafka Test	END	1620476032244
USER	Kafka Test	START	1620476032325
REQUEST		request	1620476032325	1620476032348	OK	 
USER	Kafka Test	END	1620476032349
USER	Kafka Test	START	1620476032425
REQUEST		request	1620476032425	1620476032444	OK	 
USER	Kafka Test	END	1620476032445
USER	Kafka Test	START	1620476032525
REQUEST		request	1620476032525	1620476032548	OK	 
USER	Kafka Test	END	1620476032548
USER	Kafka Test	START	1620476032627
REQUEST		request	1620476032627	1620476032652	OK	 
USER	Kafka Test	END	1620476032653
USER	Kafka Test	START	1620476032724
REQUEST		request	1620476032724	1620476032738	OK	 
USER	Kafka Test	END	1620476032739
USER	Kafka Test	START	1620476032824
REQUEST		request	1620476032824	1620476032845	OK	 
USER	Kafka Test	END	1620476032846
USER	Kafka Test	START	1620476032925
REQUEST		request	1620476032925	1620476032999	OK	 
USER	Kafka Test	END	1620476033000
USER	Kafka Test	START	1620476033024
USER	Kafka Test	START	1620476033124
REQUEST		request	1620476033024	1620476033131	OK	 
USER	Kafka Test	END	1620476033131
REQUEST		request	1620476033124	1620476033142	OK	 
USER	Kafka Test	END	1620476033142
USER	Kafka Test	START	1620476033225
REQUEST		request	1620476033225	1620476033282	OK	 
USER	Kafka Test	END	1620476033283
USER	Kafka Test	START	1620476033325
USER	Kafka Test	START	1620476033424
REQUEST		request	1620476033325	1620476033426	OK	 
USER	Kafka Test	END	1620476033427
REQUEST		request	1620476033424	1620476033444	OK	 
USER	Kafka Test	END	1620476033445
USER	Kafka Test	START	1620476033525
REQUEST		request	1620476033525	1620476033608	OK	 
USER	Kafka Test	END	1620476033611
USER	Kafka Test	START	1620476033625
USER	Kafka Test	START	1620476033725
REQUEST		request	1620476033625	1620476033745	OK	 
USER	Kafka Test	END	1620476033746
REQUEST		request	1620476033725	1620476033747	OK	 
USER	Kafka Test	END	1620476033748
USER	Kafka Test	START	1620476033824
REQUEST		request	1620476033824	1620476033905	OK	 
USER	Kafka Test	END	1620476033906
USER	Kafka Test	START	1620476033925
USER	Kafka Test	START	1620476034024
REQUEST		request	1620476033925	1620476034029	OK	 
USER	Kafka Test	END	1620476034030
REQUEST		request	1620476034025	1620476034049	OK	 
USER	Kafka Test	END	1620476034050
USER	Kafka Test	START	1620476034124
REQUEST		request	1620476034125	1620476034148	OK	 
USER	Kafka Test	END	1620476034149
USER	Kafka Test	START	1620476034224
REQUEST		request	1620476034224	1620476034241	OK	 
USER	Kafka Test	END	1620476034242
USER	Kafka Test	START	1620476034324
REQUEST		request	1620476034324	1620476034348	OK	 
USER	Kafka Test	END	1620476034348
USER	Kafka Test	START	1620476034425
REQUEST		request	1620476034425	1620476034447	OK	 
USER	Kafka Test	END	1620476034447
USER	Kafka Test	START	1620476034524
REQUEST		request	1620476034524	1620476034545	OK	 
USER	Kafka Test	END	1620476034546
USER	Kafka Test	START	1620476034624
REQUEST		request	1620476034624	1620476034647	OK	 
USER	Kafka Test	END	1620476034647
USER	Kafka Test	START	1620476034724
REQUEST		request	1620476034724	1620476034743	OK	 
USER	Kafka Test	END	1620476034743
USER	Kafka Test	START	1620476034824
REQUEST		request	1620476034824	1620476034847	OK	 
USER	Kafka Test	END	1620476034847
USER	Kafka Test	START	1620476034924
REQUEST		request	1620476034924	1620476034945	OK	 
USER	Kafka Test	END	1620476034946
USER	Kafka Test	START	1620476035024
REQUEST		request	1620476035024	1620476035049	OK	 
USER	Kafka Test	END	1620476035050
USER	Kafka Test	START	1620476035125
REQUEST		request	1620476035125	1620476035149	OK	 
USER	Kafka Test	END	1620476035149
USER	Kafka Test	START	1620476035225
REQUEST		request	1620476035225	1620476035254	OK	 
USER	Kafka Test	END	1620476035256
USER	Kafka Test	START	1620476035325
REQUEST		request	1620476035325	1620476035341	OK	 
USER	Kafka Test	END	1620476035342
USER	Kafka Test	START	1620476035425
REQUEST		request	1620476035425	1620476035449	OK	 
USER	Kafka Test	END	1620476035449
USER	Kafka Test	START	1620476035525
REQUEST		request	1620476035525	1620476035544	OK	 
USER	Kafka Test	END	1620476035544
USER	Kafka Test	START	1620476035626
REQUEST		request	1620476035626	1620476035652	OK	 
USER	Kafka Test	END	1620476035653
USER	Kafka Test	START	1620476035724
REQUEST		request	1620476035724	1620476035741	OK	 
USER	Kafka Test	END	1620476035742
USER	Kafka Test	START	1620476035824
REQUEST		request	1620476035825	1620476035846	OK	 
USER	Kafka Test	END	1620476035846
USER	Kafka Test	START	1620476035924
REQUEST		request	1620476035924	1620476035948	OK	 
USER	Kafka Test	END	1620476035949
USER	Kafka Test	START	1620476036024
REQUEST		request	1620476036024	1620476036051	OK	 
USER	Kafka Test	END	1620476036051
USER	Kafka Test	START	1620476036124
REQUEST		request	1620476036124	1620476036146	OK	 
USER	Kafka Test	END	1620476036147
USER	Kafka Test	START	1620476036225
REQUEST		request	1620476036225	1620476036248	OK	 
USER	Kafka Test	END	1620476036248
USER	Kafka Test	START	1620476036325
REQUEST		request	1620476036325	1620476036344	OK	 
USER	Kafka Test	END	1620476036346
USER	Kafka Test	START	1620476036425
REQUEST		request	1620476036425	1620476036449	OK	 
USER	Kafka Test	END	1620476036449
USER	Kafka Test	START	1620476036526
REQUEST		request	1620476036526	1620476036551	OK	 
USER	Kafka Test	END	1620476036552
USER	Kafka Test	START	1620476036625
REQUEST		request	1620476036626	1620476036648	OK	 
USER	Kafka Test	END	1620476036649
USER	Kafka Test	START	1620476036723
REQUEST		request	1620476036723	1620476036740	OK	 
USER	Kafka Test	END	1620476036740
USER	Kafka Test	START	1620476036824
REQUEST		request	1620476036825	1620476036844	OK	 
USER	Kafka Test	END	1620476036846
USER	Kafka Test	START	1620476036924
REQUEST		request	1620476036924	1620476036942	OK	 
USER	Kafka Test	END	1620476036944
USER	Kafka Test	START	1620476037025
REQUEST		request	1620476037025	1620476037044	OK	 
USER	Kafka Test	END	1620476037044
USER	Kafka Test	START	1620476037125
REQUEST		request	1620476037125	1620476037145	OK	 
USER	Kafka Test	END	1620476037146
USER	Kafka Test	START	1620476037226
REQUEST		request	1620476037226	1620476037240	OK	 
USER	Kafka Test	END	1620476037240
USER	Kafka Test	START	1620476037326
REQUEST		request	1620476037326	1620476037350	OK	 
USER	Kafka Test	END	1620476037351
USER	Kafka Test	START	1620476037425
REQUEST		request	1620476037425	1620476037442	OK	 
USER	Kafka Test	END	1620476037444
USER	Kafka Test	START	1620476037526
REQUEST		request	1620476037526	1620476037548	OK	 
USER	Kafka Test	END	1620476037549
USER	Kafka Test	START	1620476037626
REQUEST		request	1620476037626	1620476037659	OK	 
USER	Kafka Test	END	1620476037661
USER	Kafka Test	START	1620476037723
REQUEST		request	1620476037723	1620476037739	OK	 
USER	Kafka Test	END	1620476037739
USER	Kafka Test	START	1620476037823
REQUEST		request	1620476037824	1620476037840	OK	 
USER	Kafka Test	END	1620476037841
USER	Kafka Test	START	1620476037923
REQUEST		request	1620476037924	1620476037946	OK	 
USER	Kafka Test	END	1620476037947
USER	Kafka Test	START	1620476038024
REQUEST		request	1620476038024	1620476038043	OK	 
USER	Kafka Test	END	1620476038044
USER	Kafka Test	START	1620476038125
REQUEST		request	1620476038125	1620476038145	OK	 
USER	Kafka Test	END	1620476038147
USER	Kafka Test	START	1620476038223
REQUEST		request	1620476038223	1620476038238	OK	 
USER	Kafka Test	END	1620476038239
USER	Kafka Test	START	1620476038324
REQUEST		request	1620476038324	1620476038344	OK	 
USER	Kafka Test	END	1620476038345
USER	Kafka Test	START	1620476038425
REQUEST		request	1620476038425	1620476038454	OK	 
USER	Kafka Test	END	1620476038456
USER	Kafka Test	START	1620476038524
REQUEST		request	1620476038524	1620476038539	OK	 
USER	Kafka Test	END	1620476038540
USER	Kafka Test	START	1620476038624
REQUEST		request	1620476038624	1620476038638	OK	 
USER	Kafka Test	END	1620476038639
USER	Kafka Test	START	1620476038723
REQUEST		request	1620476038724	1620476038743	OK	 
USER	Kafka Test	END	1620476038744
USER	Kafka Test	START	1620476038824
REQUEST		request	1620476038824	1620476038841	OK	 
USER	Kafka Test	END	1620476038842
USER	Kafka Test	START	1620476038924
REQUEST		request	1620476038924	1620476038943	OK	 
USER	Kafka Test	END	1620476038944
USER	Kafka Test	START	1620476039024
REQUEST		request	1620476039024	1620476039047	OK	 
USER	Kafka Test	END	1620476039048
USER	Kafka Test	START	1620476039124
REQUEST		request	1620476039124	1620476039141	OK	 
USER	Kafka Test	END	1620476039143
USER	Kafka Test	START	1620476039224
REQUEST		request	1620476039224	1620476039243	OK	 
USER	Kafka Test	END	1620476039243
USER	Kafka Test	START	1620476039324
REQUEST		request	1620476039324	1620476039342	OK	 
USER	Kafka Test	END	1620476039343
USER	Kafka Test	START	1620476039424
REQUEST		request	1620476039424	1620476039443	OK	 
USER	Kafka Test	END	1620476039444
USER	Kafka Test	START	1620476039524
REQUEST		request	1620476039524	1620476039548	OK	 
USER	Kafka Test	END	1620476039549
USER	Kafka Test	START	1620476039624
REQUEST		request	1620476039624	1620476039647	OK	 
USER	Kafka Test	END	1620476039648
USER	Kafka Test	START	1620476039724
REQUEST		request	1620476039724	1620476039739	OK	 
USER	Kafka Test	END	1620476039739
USER	Kafka Test	START	1620476039824
REQUEST		request	1620476039824	1620476039837	OK	 
USER	Kafka Test	END	1620476039837
USER	Kafka Test	START	1620476039925
REQUEST		request	1620476039925	1620476039949	OK	 
USER	Kafka Test	END	1620476039950
USER	Kafka Test	START	1620476040025
REQUEST		request	1620476040025	1620476040049	OK	 
USER	Kafka Test	END	1620476040050
USER	Kafka Test	START	1620476040125
REQUEST		request	1620476040125	1620476040149	OK	 
USER	Kafka Test	END	1620476040149
USER	Kafka Test	START	1620476040225
REQUEST		request	1620476040225	1620476040245	OK	 
USER	Kafka Test	END	1620476040246
USER	Kafka Test	START	1620476040325
